Date,Open,High,Low,Close,Adj Close,Volume,ma1,ma2,ma3,ma5,ma9,ma10,ma20,ma1x2,ma1x3,ma1x5,ma1x9,ma1x10,ma1x20,ma2x3,ma2x5,ma2x9,ma2x10,ma2x20,ma3x5,ma3x9,ma3x10,ma3x20,ma5x9,ma5x10,ma5x20,ma9x10,ma9x20,ma10x20,updown,updowns_percents
1999-04-08,1.7604166269302368,1.8333333730697632,1.7395833730697632,1.78125,1.6386778354644775,3253200.0,1.78125,1.765625,1.7152777910232544,1.7020833492279053,1.7175925970077515,1.70625,1.7033854126930237,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0.017857142857142794
1999-04-09,1.7916666269302368,1.7916666269302368,1.7395833730697632,1.75,1.6099289655685425,1215600.0,1.75,1.765625,1.7604166666666667,1.7104166746139526,1.718171305126614,1.7208333373069764,1.7044270813465119,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,-1,-0.01754385964912286
1999-04-12,1.7291666269302368,1.7291666269302368,1.6458333730697632,1.6770833730697632,1.542849063873291,832800.0,1.6770833730697632,1.7135416865348816,1.7361111243565877,1.7145833492279052,1.7048611243565877,1.714062511920929,1.7033854186534882,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,-1,-0.04166664396013531
1999-04-13,1.7083333730697632,1.7083333730697632,1.5833333730697632,1.609375,1.4805599451065063,903600.0,1.609375,1.6432291865348816,1.6788194576899211,1.7135416746139527,1.700810194015503,1.695312511920929,1.6953125,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,-1,-0.0403726935446439
1999-04-14,1.6041666269302368,1.640625,1.5625,1.5625,1.437436580657959,1207200.0,1.5625,1.5859375,1.6163194576899211,1.6760416746139526,1.6788194576899211,1.6869791746139526,1.6877604186534882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,-0.029126213592232997
1999-04-15,1.6041666269302368,1.6041666269302368,1.5625,1.6041666269302368,1.4757682085037231,896400.0,1.6041666269302368,1.5833333134651184,1.5920138756434123,1.640625,1.6672453747855291,1.6713541746139526,1.6817708313465118,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.026666641235351562
1999-04-16,1.59375,1.6822916269302368,1.59375,1.65625,1.5236828327178955,973200.0,1.65625,1.6302083134651184,1.6076388756434123,1.621875,1.6672453747855291,1.6661458373069764,1.67734375,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.03246755804253998
1999-04-19,1.6770833730697632,1.6770833730697632,1.5625,1.5833333730697632,1.4566025733947754,782400.0,1.5833333730697632,1.6197916865348816,1.6145833333333333,1.603125,1.663773152563307,1.6588541746139527,1.6690104186534882,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-0.04402513324089774
1999-04-20,1.5833333730697632,1.6458333730697632,1.5364583730697632,1.5520833730697632,1.4278539419174194,1692000.0,1.5520833730697632,1.5677083730697632,1.5972222487131755,1.5916666746139527,1.6417824162377253,1.6526041746139526,1.6617187559604645,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-0.01973684160993372
1999-04-21,1.5520833730697632,1.5833333730697632,1.5416666269302368,1.578125,1.4518113136291504,937200.0,1.578125,1.5651041865348816,1.5711805820465088,1.5947916746139525,1.6192129717932806,1.6354166746139527,1.6609375059604645,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.016778497458374897
